order_month,orders,customers,units,revenue,gross_profit,avg_order_value,running_revenue,mom_growth_pct
2024-01-01,21,16,76.0,367077.09,131077.09,17479.86,367077.09,
2024-02-01,17,16,59.0,145987.64,65097.64,8587.51,513064.73,-60.2
2024-03-01,23,20,67.0,192476.64,89176.64,8368.55,705541.37,31.8
2024-04-01,26,22,103.0,392776.21,133416.21,15106.78,1098317.58,104.1
2024-05-01,30,22,87.0,268603.69,110403.69,8953.46,1366921.27,-31.6
2024-06-01,29,22,97.0,341774.21,134224.21,11785.32,1708695.48,27.2
2024-07-01,32,25,99.0,221734.87,103994.87,6929.21,1930430.35,-35.1
2024-08-01,32,22,97.0,236444.23,106754.23,7388.88,2166874.58,6.6
2024-09-01,36,27,103.0,308333.5,128453.5,8564.82,2475208.08,30.4
2024-10-01,44,26,159.0,552518.91,221308.91,12557.25,3027726.99,79.2
2024-11-01,45,28,129.0,438648.03,182518.03,9747.73,3466375.02,-20.6
2024-12-01,32,29,109.0,228745.47,112395.47,7148.3,3695120.49,-47.9
2025-01-01,34,25,93.0,222942.7,97162.7,6557.14,3918063.19,-2.5
2025-02-01,29,22,109.0,264798.42,123798.42,9130.98,4182861.61,18.8
2025-03-01,38,27,133.0,357168.55,153238.55,9399.17,4540030.16,34.9
2025-04-01,37,27,105.0,314313.07,125903.07,8494.95,4854343.23,-12.0
2025-05-01,35,29,111.0,446291.2,154881.2,12751.18,5300634.43,42.0
2025-06-01,42,36,153.0,329759.49,155069.49,7851.42,5630393.92,-26.1
2025-07-01,38,29,131.0,305281.61,137891.61,8033.73,5935675.53,-7.4
2025-08-01,36,29,114.0,303714.9,130284.9,8436.53,6239390.43,-0.5
2025-09-01,39,34,102.0,382712.89,143522.89,9813.15,6622103.32,26.0
2025-10-01,62,38,193.0,524425.65,213375.65,8458.48,7146528.97,37.0
2025-11-01,54,36,146.0,368688.86,159978.86,6827.57,7515217.83,-29.7
2025-12-01,44,31,123.0,339873.4,145183.4,7724.4,7855091.23,-7.8
2026-01-01,34,28,111.0,347669.18,143919.18,10225.56,8202760.41,2.3
2026-02-01,37,26,120.0,303650.93,129130.93,8206.78,8506411.34,-12.7
2026-03-01,41,30,134.0,355235.95,146465.95,8664.29,8861647.29,17.0
2026-04-01,47,34,147.0,306636.56,145516.56,6524.18,9168283.85,-13.7
2026-05-01,42,30,121.0,326296.32,138956.32,7768.96,9494580.17,6.4
2026-06-01,42,27,123.0,289588.8,123518.8,6894.97,9784168.97,-11.2
2026-07-01,41,29,145.0,403486.52,159806.52,9841.13,10187655.49,39.3
2026-08-01,26,23,74.0,207287.97,73367.97,7972.61,10394943.46,-48.6
