order_month,orders,booked_value,gross_collected,refunded,net_collected,uncollected_value,collection_rate_pct
2024-01-01,25,384726.44,379982.84,12905.75,367077.09,4743.6,95.4
2024-02-01,22,223127.36,221927.51,75939.87,145987.64,1199.85,65.4
2024-03-01,27,241648.37,205928.23,13047.49,192880.74,35720.14,79.8
2024-04-01,32,456374.37,448652.21,17246.2,431406.01,7722.16,94.5
2024-05-01,34,294590.74,294590.74,25987.05,268603.69,,91.2
2024-06-01,36,422857.06,363168.06,15777.45,347390.61,59689.0,82.2
2024-07-01,37,256873.13,247900.41,26165.54,221734.87,8972.72,86.3
2024-08-01,35,260892.48,239362.73,2278.1,237084.63,21529.75,90.9
2024-09-01,43,337631.37,329405.47,19453.77,309951.7,8225.9,91.8
2024-10-01,50,617024.21,616710.26,9636.2,607074.06,313.95,98.4
2024-11-01,51,485762.13,472328.62,28325.55,444003.07,13433.51,91.4
2024-12-01,40,348220.02,342300.69,113555.22,228745.47,5919.33,65.7
2025-01-01,39,355947.81,236588.81,9952.11,226636.7,119359.0,63.7
2025-02-01,32,277369.14,277369.14,9972.72,267396.42,,96.4
2025-03-01,40,361126.6,358467.55,1299.0,357168.55,2659.05,98.9
2025-04-01,45,408480.38,380936.82,66623.75,314313.07,27543.56,76.9
2025-05-01,42,498333.84,495335.84,33887.59,461448.25,2998.0,92.6
2025-06-01,46,376402.89,345177.79,15418.3,329759.49,31225.1,87.6
2025-07-01,44,359993.7,351832.7,44290.9,307541.8,8161.0,85.4
2025-08-01,48,374031.41,370134.41,43873.61,326260.8,3897.0,87.2
2025-09-01,54,474097.03,465271.78,75190.74,390081.04,8825.25,82.3
2025-10-01,70,631140.53,610949.21,59490.8,551458.41,20191.32,87.4
2025-11-01,66,452204.64,447680.83,72080.47,375600.36,4523.81,83.1
2025-12-01,56,417753.59,398657.29,48679.84,349977.45,19096.3,83.8
2026-01-01,40,389163.27,371744.72,24075.54,347669.18,17418.55,89.3
2026-02-01,41,339175.74,334782.53,30492.4,304290.13,4393.21,89.7
2026-03-01,48,481187.11,449578.56,94342.61,355235.95,31608.55,73.8
2026-04-01,55,436918.77,426553.36,119157.75,307395.61,10365.41,70.4
2026-05-01,48,351087.68,346897.77,20601.45,326296.32,4189.91,92.9
2026-06-01,46,330752.35,318498.67,28909.87,289588.8,12253.68,87.6
2026-07-01,48,512018.0,474674.06,71187.54,403486.52,37343.94,78.8
2026-08-01,51,462173.41,413048.73,11464.99,401583.74,49124.68,86.9
